"group","method","age_bracket","method_count","failure_count","relative_failure_count"
"A","Sms","70-80","1","1","100.00"
"B","Sms","80-90","2","2","100.00"
"C","Whatsapp","80-90","2","1","50.00"
"A","Sms","60-70","11","4","36.36"
"B","Sms","60-70","14","4","28.57"
"A","Sms","50-60","75","14","18.67"
"A","Sms","16-20","821","139","16.93"
"A","Sms","40-50","328","42","12.80"
"B","Whatsapp","50-60","8","1","12.50"
"A","Sms","20-25","2012","251","12.48"
"C","Whatsapp","16-20","563","70","12.43"
"A","Sms","25-30","1721","205","11.91"
"C","Whatsapp","60-70","17","2","11.76"
"C","Whatsapp","50-60","43","5","11.63"
"B","Sms","16-20","700","80","11.43"
"B","Whatsapp","30-40","162","18","11.11"
"A","Sms","30-40","1409","151","10.72"
"B","Sms","40-50","269","26","9.67"
"B","Whatsapp","20-25","198","18","9.09"
"C","Whatsapp","20-25","1165","102","8.76"
"C","Whatsapp","40-50","229","20","8.73"
"B","Whatsapp","16-20","95","8","8.42"
"C","Whatsapp","30-40","836","61","7.30"
"C","Whatsapp","25-30","1050","75","7.14"
"B","Sms","30-40","1164","73","6.27"
"B","Sms","20-25","1687","103","6.11"
"B","Whatsapp","25-30","164","10","6.10"
"B","Sms","25-30","1368","80","5.85"
"C","Sms","40-50","126","7","5.56"
"B","Whatsapp","40-50","39","2","5.13"
"C","Sms","30-40","509","25","4.91"
"C","Sms","20-25","707","34","4.81"
"C","Sms","25-30","650","28","4.31"
"C","Sms","16-20","189","8","4.23"
"C","Sms","50-60","24","1","4.17"
"B","Sms","50-60","52","1","1.92"
"A","Sms","80-90","1","0","0.00"
"B","Sms","70-80","1","0","0.00"
"C","Sms","60-70","7","0","0.00"
"C","Sms","70-80","1","0","0.00"
